year,company,bev_sales
2020,Tesla Inc.,499550
2021,Tesla Inc.,936172
2022,Tesla Inc.,1313851
2023,Tesla Inc.,1808581
2024,Tesla Inc.,1790000
2025,Tesla Inc.,1640000
2020,BYD,130970
2021,BYD,320810
2022,BYD,911140
2023,BYD,1574822
2024,BYD,1764992
2025,BYD,2256714
2020,Volkswagen Group,231600
2021,Volkswagen Group,452900
2022,Volkswagen Group,572100
2023,Volkswagen Group,771100
2024,Volkswagen Group,745000
2025,Volkswagen Group,983000
2020,BMW Group,44531
2021,BMW Group,103855
2022,BMW Group,215755
2023,BMW Group,376183
2024,BMW Group,426594
2025,BMW Group,442072
2020,Hyundai-Kia Group,90000
2021,Hyundai-Kia Group,142000
2022,Hyundai-Kia Group,338000
2023,Hyundai-Kia Group,425000
2024,Hyundai-Kia Group,457000
2025,Hyundai-Kia Group,513669
2020,Mercedes-Benz Group,50000
2021,Mercedes-Benz Group,99300
2022,Mercedes-Benz Group,149227
2023,Mercedes-Benz Group,240668
2024,Mercedes-Benz Group,225000
2025,Mercedes-Benz Group,168800
