year,company,bev_units,market_share_pct,share_of_sample_pct
2019,BMW,42000,2.0,5.026929982046679
2019,BYD,148000,6.9,17.713943746259726
2019,Ford,12000,0.6,1.436265709156194
2019,GM,16000,0.7,1.9150209455415919
2019,Hyundai-Kia,88000,4.1,10.532615200478755
2019,Mercedes-Benz,18000,0.8,2.154398563734291
2019,Renault-Nissan,62000,2.9,7.4207061639736684
2019,Tesla,367500,17.2,43.98563734290844
2019,Toyota,12000,0.6,1.436265709156194
2019,Volkswagen,70000,3.3,8.378216636744465
2020,BMW,48000,2.1,3.872373038602719
2020,BYD,189000,8.3,15.247468839498204
2020,Ford,15000,0.7,1.2101165745633495
2020,GM,20000,0.9,1.6134887660844661
2020,Hyundai-Kia,120000,5.3,9.680932596506796
2020,Mercedes-Benz,25000,1.1,2.0168609576055827
2020,Renault-Nissan,75000,3.3,6.050582872816748
2020,Tesla,499550,22.0,40.30091565487475
2020,Toyota,18000,0.8,1.4521398894760196
2020,Volkswagen,230000,10.1,18.55512080997136
2021,BMW,103000,2.4,4.614339755180157
2021,BYD,320000,7.4,14.33581283162767
2021,Ford,27000,0.6,1.2095842076685848
2021,GM,25000,0.6,1.1199853774709116
2021,Hyundai-Kia,195000,4.5,8.735885944273111
2021,Mercedes-Benz,68000,1.6,3.04636022672088
2021,Renault-Nissan,82000,1.9,3.6735520381045905
2021,Tesla,936172,21.5,41.939958031907935
2021,Toyota,24000,0.6,1.0751859623720752
2021,Volkswagen,452000,10.4,20.249335624674085
2022,BMW,215000,3.0,5.885588001722424
2022,BYD,911140,12.6,24.942300706462184
2022,Ford,62000,0.9,1.6972393307292573
2022,GM,38000,0.5,1.0402434607695448
2022,Hyundai-Kia,298000,4.1,8.15769871866643
2022,Mercedes-Benz,117000,1.6,3.2028548660535985
2022,Renault-Nissan,88000,1.2,2.408984856518946
2022,Tesla,1313851,18.2,35.96644503093492
2022,Toyota,38000,0.5,1.0402434607695448
2022,Volkswagen,572000,7.9,15.658401567373147
2023,BMW,376000,4.0,6.824690933162135
2023,BYD,1574826,16.6,28.58431043486168
2023,Ford,73000,0.8,1.325006484363925
2023,GM,76000,0.8,1.379458805639155
2023,Hyundai-Kia,410000,4.3,7.441817240948073
2023,Mercedes-Benz,222000,2.3,4.029471774367006
2023,Renault-Nissan,95000,1.0,1.7243235070489435
2023,Tesla,1808581,19.1,32.827144554758796
2023,Toyota,104000,1.1,1.8876804708746333
2023,Volkswagen,770000,8.1,13.976095793975649
2024,BMW,420000,4.3,7.018449163367438
2024,BYD,1760000,18.2,29.41064411315879
2024,Ford,98000,1.0,1.637638138119069
2024,GM,95000,1.0,1.5875063583807303
2024,Hyundai-Kia,480000,5.0,8.021084758134215
2024,Mercedes-Benz,280000,2.9,4.678966108911626
2024,Renault-Nissan,102000,1.1,1.7044805111035208
2024,Tesla,1789228,18.5,29.899061332556183
2024,Toyota,140000,1.4,2.339483054455813
2024,Volkswagen,820000,8.5,13.702686461812618
2025,BMW,450000,4.3,6.976744186046512
2025,BYD,1920000,18.5,29.767441860465116
2025,Ford,115000,1.1,1.7829457364341086
2025,GM,110000,1.1,1.7054263565891472
2025,Hyundai-Kia,520000,5.0,8.062015503875969
2025,Mercedes-Benz,310000,3.0,4.8062015503875966
2025,Renault-Nissan,110000,1.1,1.7054263565891472
2025,Tesla,1850000,17.8,28.68217054263566
2025,Toyota,165000,1.6,2.558139534883721
2025,Volkswagen,900000,8.7,13.953488372093023
