year,region,powertrain,units,share_within_region
2019,Asia,BEV,0,0.0
2019,Asia,FCEV,1,0.12706480304955528
2019,Asia,HEV,785,99.74587039390089
2019,Asia,PHEV,1,0.12706480304955528
2019,Europe,BEV,1,0.17761989342806395
2019,Europe,FCEV,0,0.0
2019,Europe,HEV,560,99.46714031971581
2019,Europe,PHEV,2,0.3552397868561279
2019,Global,BEV,1,0.05189413596263622
2019,Global,FCEV,3,0.15568240788790866
2019,Global,HEV,1895,98.33938764919564
2019,Global,PHEV,28,1.4530358069538143
2019,North America,BEV,0,0.0
2019,North America,FCEV,2,0.34662045060658575
2019,North America,HEV,550,95.32062391681109
2019,North America,PHEV,25,4.332755632582322
2020,Asia,BEV,0,0.0
2020,Asia,FCEV,1,0.13157894736842105
2020,Asia,HEV,755,99.3421052631579
2020,Asia,PHEV,4,0.5263157894736842
2020,Europe,BEV,2,0.33500837520938026
2020,Europe,FCEV,0,0.0
2020,Europe,HEV,585,97.98994974874373
2020,Europe,PHEV,10,1.675041876046901
2020,Global,BEV,3,0.1531393568147014
2020,Global,FCEV,2,0.10209290454313426
2020,Global,HEV,1910,97.49872383869321
2020,Global,PHEV,44,2.2460438999489534
2020,North America,BEV,1,0.16611295681063123
2020,North America,FCEV,1,0.16611295681063123
2020,North America,HEV,570,94.6843853820598
2020,North America,PHEV,30,4.983388704318937
2021,Asia,BEV,6,0.5555555555555556
2021,Asia,FCEV,2,0.1851851851851852
2021,Asia,HEV,1057,97.87037037037038
2021,Asia,PHEV,15,1.3888888888888888
2021,Europe,BEV,6,0.7822685788787485
2021,Europe,FCEV,1,0.1303780964797914
2021,Europe,HEV,715,93.22033898305084
2021,Europe,PHEV,45,5.867014341590613
2021,Global,BEV,14,0.5355776587605203
2021,Global,FCEV,6,0.22953328232593728
2021,Global,HEV,2482,94.95026778882938
2021,Global,PHEV,112,4.284621270084163
2021,North America,BEV,2,0.2607561929595828
2021,North America,FCEV,3,0.3911342894393742
2021,North America,HEV,710,92.5684485006519
2021,North America,PHEV,52,6.779661016949152
2022,Asia,BEV,9,0.7839721254355401
2022,Asia,FCEV,1,0.08710801393728224
2022,Asia,HEV,1128,98.25783972125436
2022,Asia,PHEV,10,0.8710801393728222
2022,Europe,BEV,10,1.2804097311139564
2022,Europe,FCEV,1,0.12804097311139565
2022,Europe,HEV,735,94.1101152368758
2022,Europe,PHEV,35,4.481434058898848
2022,Global,BEV,24,0.8820286659316428
2022,Global,FCEV,4,0.1470047776552738
2022,Global,HEV,2603,95.66335905916942
2022,Global,PHEV,90,3.307607497243661
2022,North America,BEV,5,0.6313131313131313
2022,North America,FCEV,2,0.25252525252525254
2022,North America,HEV,740,93.43434343434343
2022,North America,PHEV,45,5.681818181818182
2023,Asia,BEV,48,2.7777777777777777
2023,Asia,FCEV,0,0.0
2023,Asia,HEV,1665,96.35416666666666
2023,Asia,PHEV,15,0.8680555555555556
2023,Europe,BEV,28,2.9818956336528224
2023,Europe,FCEV,1,0.10649627263045794
2023,Europe,HEV,865,92.11927582534611
2023,Europe,PHEV,45,4.792332268370607
2023,Global,BEV,104,2.8469750889679712
2023,Global,FCEV,4,0.10949904188338351
2023,Global,HEV,3420,93.6216808102929
2023,Global,PHEV,125,3.421845058855735
2023,North America,BEV,28,2.839756592292089
2023,North America,FCEV,3,0.3042596348884381
2023,North America,HEV,890,90.26369168356997
2023,North America,PHEV,65,6.592292089249494
2024,Asia,BEV,61,2.9298751200768494
2024,Asia,FCEV,0,0.0
2024,Asia,HEV,2000,96.06147934678194
2024,Asia,PHEV,21,1.0086455331412103
2024,Europe,BEV,38,3.5480859010270773
2024,Europe,FCEV,1,0.09337068160597572
2024,Europe,HEV,980,91.50326797385621
2024,Europe,PHEV,52,4.855275443510738
2024,Global,BEV,141,3.160726294552791
2024,Global,FCEV,2,0.04483299708585519
2024,Global,HEV,4160,93.2526339385788
2024,Global,PHEV,158,3.54180676978256
2024,North America,BEV,42,3.211009174311927
2024,North America,FCEV,1,0.0764525993883792
2024,North America,HEV,1180,90.21406727828746
2024,North America,PHEV,85,6.498470948012232
2025,Asia,BEV,80,3.5164835164835164
2025,Asia,FCEV,0,0.0
2025,Asia,HEV,2170,95.38461538461539
2025,Asia,PHEV,25,1.098901098901099
2025,Europe,BEV,55,4.598662207357859
2025,Europe,FCEV,1,0.08361204013377926
2025,Europe,HEV,1080,90.3010033444816
2025,Europe,PHEV,60,5.016722408026756
2025,Global,BEV,200,4.006410256410256
2025,Global,FCEV,2,0.04006410256410256
2025,Global,HEV,4600,92.1474358974359
2025,Global,PHEV,190,3.806089743589743
2025,North America,BEV,65,4.273504273504273
2025,North America,FCEV,1,0.06574621959237344
2025,North America,HEV,1350,88.75739644970415
2025,North America,PHEV,105,6.903353057199212
