year,material,price_usd_per_unit,unit
2020,lithium_carbonate,8500,ton
2020,nickel,13800,ton
2020,cobalt,33500,ton
2020,graphite,720,ton
2021,lithium_carbonate,12500,ton
2021,nickel,18500,ton
2021,cobalt,51000,ton
2021,graphite,780,ton
2022,lithium_carbonate,78000,ton
2022,nickel,26000,ton
2022,cobalt,56000,ton
2022,graphite,820,ton
2023,lithium_carbonate,32000,ton
2023,nickel,21000,ton
2023,cobalt,33000,ton
2023,graphite,850,ton
2024,lithium_carbonate,14000,ton
2024,nickel,16800,ton
2024,cobalt,28500,ton
2024,graphite,880,ton
2025,lithium_carbonate,11500,ton
2025,nickel,15500,ton
2025,cobalt,26000,ton
2025,graphite,900,ton
