year,company,bev_units,market_share_pct
2019,Tesla,367500,17.2
2019,BYD,148000,6.9
2019,Volkswagen,70000,3.3
2019,Renault-Nissan,62000,2.9
2019,Hyundai-Kia,88000,4.1
2019,GM,16000,0.7
2019,Toyota,12000,0.6
2019,BMW,42000,2.0
2019,Mercedes-Benz,18000,0.8
2019,Ford,12000,0.6
2020,Tesla,499550,22.0
2020,BYD,189000,8.3
2020,Volkswagen,230000,10.1
2020,Renault-Nissan,75000,3.3
2020,Hyundai-Kia,120000,5.3
2020,GM,20000,0.9
2020,Toyota,18000,0.8
2020,BMW,48000,2.1
2020,Mercedes-Benz,25000,1.1
2020,Ford,15000,0.7
2021,Tesla,936172,21.5
2021,BYD,320000,7.4
2021,Volkswagen,452000,10.4
2021,Renault-Nissan,82000,1.9
2021,Hyundai-Kia,195000,4.5
2021,GM,25000,0.6
2021,Toyota,24000,0.6
2021,BMW,103000,2.4
2021,Mercedes-Benz,68000,1.6
2021,Ford,27000,0.6
2022,Tesla,1313851,18.2
2022,BYD,911140,12.6
2022,Volkswagen,572000,7.9
2022,Renault-Nissan,88000,1.2
2022,Hyundai-Kia,298000,4.1
2022,GM,38000,0.5
2022,Toyota,38000,0.5
2022,BMW,215000,3.0
2022,Mercedes-Benz,117000,1.6
2022,Ford,62000,0.9
2023,Tesla,1808581,19.1
2023,BYD,1574826,16.6
2023,Volkswagen,770000,8.1
2023,Renault-Nissan,95000,1.0
2023,Hyundai-Kia,410000,4.3
2023,GM,76000,0.8
2023,Toyota,104000,1.1
2023,BMW,376000,4.0
2023,Mercedes-Benz,222000,2.3
2023,Ford,73000,0.8
2024,Tesla,1789228,18.5
2024,BYD,1760000,18.2
2024,Volkswagen,820000,8.5
2024,Renault-Nissan,102000,1.1
2024,Hyundai-Kia,480000,5.0
2024,GM,95000,1.0
2024,Toyota,140000,1.4
2024,BMW,420000,4.3
2024,Mercedes-Benz,280000,2.9
2024,Ford,98000,1.0
2025,Tesla,1850000,17.8
2025,BYD,1920000,18.5
2025,Volkswagen,900000,8.7
2025,Renault-Nissan,110000,1.1
2025,Hyundai-Kia,520000,5.0
2025,GM,110000,1.1
2025,Toyota,165000,1.6
2025,BMW,450000,4.3
2025,Mercedes-Benz,310000,3.0
2025,Ford,115000,1.1
